Country,City,University,Master,Language,Semesters,Fee per semester(EU),Language certificate,Temporada de inicio,Time,Application fee,GRE,GMAT,IELTS,TOEFL,Pasantias?,%Estudiantes extranjeros,Becas,Link,Comentarios
Switzerland,Geneva,University of Geneva,Business Analytics,English,4,455,B2,Winter Semester only,Full time,,,,,,,,,https://www.unige.ch/gsem/en/programs/masters/business-analytics/,
Switzerland,Zurich,University of Zurich,Data Science,English,4,710,B2,Summer and Winter Semester,Full time,100,,,7,100,,,,http://www.degrees.uzh.ch/en/50000003/50773260/50774407,
Switzerland,Lugano,USI Universita della Svizzera italiana,Science in Software and Data Engineering,Bilingual,4,3673,B2,,Full time,,,,,,,,,https://www.masterstudies.com/Master-of-Science-in-Software-and-Data-Engineering-(MSDE)/Switzerland/USI/#description,
United Kingdom,Cardiff,Cardiff University,Data Science and Analytics,English,2,11945,,,Full time,,,,,,,,,https://www.cardiff.ac.uk/study/postgraduate/taught/courses/course/data-science-and-analytics-msc,
United Kingdom,Cardiff,Cardiff University,Data Science and Analytics,English,6,5973,,,Part time,,,,,,,,,https://www.cardiff.ac.uk/study/postgraduate/taught/courses/course/data-science-and-analytics-msc-part-time,
United Kingdom,London,Imperial College,Business Analytics,English,2,15613,C1,Summer and Winter Semester,Full time,,,,,,,,,https://www.imperial.ac.uk/business-school/programmes/msc-business-analytics/,
United Kingdom,London,The Universityof Edinburgh,Data Science,English,2,19804,,Summer and Winter Semester,Full time,,,,,,,,,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=902,
United Kingdom,London,The Universityof Edinburgh,Data Science,English,5,9947,,Summer and Winter Semester,Part time,,,,,,,,,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&id=902,
United Kingdom,London,University College London,Data Science,English,2,15830,B2,Winter Semester only,Full time,,,,,,,,,https://www.ucl.ac.uk/statistics/prospective-postgraduates/msc-data-science,
United Kingdom,London,University College London,Data Science,English,4,8141,B2,Winter Semester only,Part time,,,,,,,,,https://www.ucl.ac.uk/statistics/prospective-postgraduates/msc-data-science,
"United Kingdom,Bath,University of Bath,Data Science,English,2,""12258,5"",B2,,Full time,,,,,,,,,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-data-science/,"
United Kingdom,Brighton,University of Brighton,Data Analytics,English,2,7500,C1,,Full time,,,,,,,,,https://www.brighton.ac.uk/courses/study/data-analytics-msc-pgcert-pgdip.aspx,
United Kingdom,Brighton,University of Brighton,Data Analytics,English,6,,C1,,Part time,,,,,,,,,https://www.brighton.ac.uk/courses/study/data-analytics-msc-pgcert-pgdip.aspx,
United Kingdom,London,University of East London,Data Science,English,2,7389,B2,,,,,,,,,,,https://www.uel.ac.uk/postgraduate/courses/msc-data-science,
United Kingdom,London,University of East London,Big Data technologies,English,2,7389,B2,,,,,,,,,,,https://www.uel.ac.uk/postgraduate/courses/msc-big-data-technologies,
"United Kingdom,Glasgow,University of Glasgow,Data Science,English,2,""11712,5"",B2,Winter Semester only,Full time,,,,,,,,,https://www.gla.ac.uk/postgraduate/taught/datascience/,"
"United Kingdom,Glasgow,University of Glasgow,Data Analytics,English,2,""11712,5"",B2,Winter Semester only,Full time,,,,,,,,,https://www.gla.ac.uk/postgraduate/taught/dataanalytics/,"
"United Kingdom,Canterbury,University of Kent,Business Analytics,English,2,5240,B2,,Full time,,,,""6,5"",90,,,,https://www.kent.ac.uk/courses/postgraduate/292/business-analytics#overview,"
United Kingdom,Oxford,University of Oxford,Social data science,English,2,14020,,Winter Semester only,Full time,75,,,7,100,No,,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/oxford-funding?wssl=1,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-data-science?wssl=1,
United Kingdom,Southampton,University of Southampton,Data Science,English,2,14181,B2,,Full time,,,,,,,,,https://www.ecs.soton.ac.uk/programmes/msc-data-science/,
United Kingdom,Southampton,University of Southampton,Artificial Intelligence,English,2,14181,B2,,Full time,,,,,,,,,https://www.ecs.soton.ac.uk/programmes/msc-artificial-intelligence/,
United Kingdom,Southampton,University of Southampton,Data and Decision Analytics,English,2,10482,B2,,Full time,,,,,,,,,https://www.southampton.ac.uk/maths/postgraduate/taught_courses/msc-data-decision-analytics.page,
"United Kingdom,Derby,University of Derby,Big Data Analytics,English,2,7.985,B2,""January, September"",Full time,,,,6,,None,,,,https://www.derby.ac.uk/postgraduate/computing-courses/big-data-analytics-msc/"
"United Kingdom,Derby,University of Derby,Big Data Analytics,English,4,3992,B2,""January, September"",Part time,,,,6,,None,,,,https://www.derby.ac.uk/postgraduate/computing-courses/big-data-analytics-msc/"
United Kingdom,London,Middlesex University London,Data Science,English,2,7790,B2,,Full time,,,,6.5,87,None,,,,https://www.mdx.ac.uk/courses/postgraduate/data-science-msc
United Kingdom,London,Middlesex University London,Data Science,English,4,7790,B2,,Part time,,,,6.5,87,None,,,,https://www.mdx.ac.uk/courses/postgraduate/data-science-msc
